Nhận xét,Cảm xúc
"Tiếp thu kiến thức nhanh hơn, dễ dàng liên hệ thực tiễn",tốt
k,không liên quan
"sự tập trung, quản lý thời gian",tốt
thuận tiện trong việc tham gia lớp học,tốt
có,không liên quan
Chủ động đc thời gian,tốt
quản lý thời gian,tốt
không ,không liên quan
a,không liên quan
Học tại nhà không cần phải di chuyển,tốt
"được thuận lợi hơn cho việc học tập ngay tại nhà, nâng cao việc sử dụng công nghệ trong học tập",tốt
Thoải mái ,tốt
"Nhanh gọn , dễ hiểu",tốt
kh kẹt xe,tốt
Tiết kiệm thời gian,tốt
không có,không liên quan
Không,không liên quan
Rất tập trung và chăm phát biểu,tốt
không khó khăn trong việc đi học xa,tốt
Thuận tiện,tốt
Tiện,tốt
nâng cao khả năng tập trung ,tốt
Thuận tiện trong việc đi lại,tốt
Được thoải mái về môi trường học,tốt
Tiết kiệm thời gian di chuyển,tốt
Khoonb,không liên quan
kỹ năng sử dựng công nghệ để học tập trực tuyên ,tốt
Không phải đi lại xa ,tốt
không tốn thời gian đến trường,tốt
Không phải ra đường. Không phải sợ bị lây bệnh ,tốt
Khong,không liên quan
.,không liên quan
"Thời gian thoải mái, dễ tương tác với nhau ",tốt
chủ động được thời gian,tốt
Không phải xếp hàng chờ thang máy ,tốt
Có thể ghi lại buổi học để xem lại,tốt
Hạn chế di chuyển,tốt
Không,không liên quan
"có thể nhắn tin qua zalo, fb cho thầy cô để hỏi bài",tốt
KH,không liên quan
học ở nhà tập trung hơn ,tốt
Dễ dàng mọi lúc mọi nơi,tốt
Ở tại nhà k phải di chuyển,tốt
Học đúng giờ ,tốt
Giáo viên cung cấp đủ kiến thức và bài tập cho sinh viên,tốt
tiết kiệm chi phí đi lại ,tốt
da quen hoc truc tuyen,tốt
Học đúng giờ,tốt
Giờ giấc thoải mái,tốt
Tham gia đầy đủ các buổi học,tốt
Học đung giờ,tốt
"tinh thần tự giác học cao, quản lý thời gian hiệu quả",tốt
có thể chủ động thời gian ,tốt
Quản lý thời gian ,tốt
dễ dàng học bất kì nơi nào,tốt
"Vào lớp đúng giờ, thi được điểm cao",tốt
"Dễ dàng, nhanh chóng, ít tốn chi phí xe, xăng",tốt
Không phải tới trường vào những buổi trưa nắng nóng,tốt
Thời gian do chuyển,tốt
Thuận tiện về thời gian hơn,tốt
Có,không liên quan
Nhanh,tốt
Đảm bảo an toàn dịch bệnh ,tốt
kỹ năng sử dụng công nghệ để học trực tuyến.,tốt
Dễ tập trung,tốt
Ở nhà học ,tốt
không,không liên quan
không,không liên quan
"Thoải mái, dùng thành thạo các kỹ năng công nghệ trực tuyến, biết nhiều hơn về các trang web trực tuyến",rất tốt
Dễ note bài,tốt
Quản lý được thời gian học online ,tốt
giao lưu với lớp,tốt
dễ di chuyển và an toàn sức khỏe ,tốt
Không,không liên quan
Điem cao ,tốt
quản lý thời gian thực hiện,tốt
"dễ dàng học, không tốn chi phí di chuyển, gửi xe, trao đổi trực tiếp với giáo viên",rất tốt
Thuận tiện thời giAn,tốt
dễ giao tiếp,tốt
Dễ tập trung học,tốt
tiện lợi và nhanh chóng ,tốt
quản lý thời gian dễ dàng,tốt
k,không liên quan
không,không liên quan
Rất thuận lợi,rất tốt
Không,không liên quan
tiện ,tốt
thoải mái,tốt
Tien ich,tốt
khong co,không liên quan
Học tại nhà,tốt
không có thuận lợi,tốt
Khả năng tự học cao,tốt
"Đỡ mất thời gian đi lại do nhà em xa, chủ động được thời gian nhiều hơn, đỡ tiếp xúc đông người do dịch, em có thể xử lý tình huống ngay khi ở nhà do tiện hơn",rất tốt
"Thoải mái về mặt thời gian, địa điểm",tốt
Nhanh chóng không hao xăng,tốt
không mất thời gian di chuyển,tốt
Không di chuyển ,tốt
Không mất thời gian di chuyển,tốt
Có nhiều thời gian chuẩn bị ,tốt
DỄ DÀNG HỌC,tốt
"không mất nhiều thời gian để vào học, được nghe rõ giảng viên nói, hiểu bài sâu hơn  và được tương tác với giảng viên tốt hơn",tốt
tiện,tốt
Ko,không liên quan
Linh hoạt về thời gian,tốt
Tiết kiệm thời gian di chuyển,tốt
sắp xếo được công việc,tốt
"tiết kiệm thời gian, chi phí",tốt
Tiết kiệm thời gian cũng như chi phí sinh hoạt,tốt
nhanh,tốt
quản lí được thời gian,tốt
thông tin tài liệu cụ thể,tốt
Không,tốt
Không phải đi lại từ nhà đến trường,tốt
Thoải mái,tốt
a,không liên quan
 quản lý thời gian,tốt
giúp tiết kiệm chi phí,tốt
Tiết kiệm thời gian,tốt
Không phải đi xa,tốt
Dễ dàng học linh động trong việc học,tốt
tiết kiệm tgian,tốt
Tiết kiệm thơi gian,tốt
Không phải đi lại,tốt
Không có,không liên quan
Không có,không liên quan
Thoải mái thời gian,tốt
khong co,không liên quan
không mất thời gian ,tốt
Tiết kiệm thời gian đi đến trường ,tốt
Nhanh chóng,tốt
Không mất phí vận chuyển,tốt
Học,không liên quan
dễ tiếp thu bài,tốt
Quản lý thời gian ,tốt
Quản lý được thời gian,tốt
Quản lý thời gian,tốt
Không ,không liên quan
Đỡ di chuyển ,tốt
.,không liên quan
không có ý kiến,bình thường
Tiện ,tốt
Không bị trễ giờ học. Tiện lợi có thể học tại nhà.,tốt
dễ hiểu,tốt
Không,không liên quan
"quản lí thời gian dễ dàng, thoải mái trong việc học",tốt
Không có,không liên quan
quản lý thời gian dễ dàng,tốt
không,không liên quan
nhanh gọn,tốt
không đi học muộn ạ,tốt
Tiện nghi,tốt
tốt ,tốt
Không ,không liên quan
Thời gian,không liên quan
a,không liên quan
ko,không liên quan
có ,không liên quan
tốt,tốt
Linh động trong việc học,tốt
tiết kiệm tgian,tốt
Linh động,tốt
Không có,không liên quan
dễ hiểu bài hơn,tốt
Đỡ di chuyển,tốt
"Không mất thời gian di chuyển. không tốn chi phí như: tiền gửi xe, tiền xăng.",tốt
Học đúng giờ,tốt
có khả năng tự học cao,tốt
Kịp giờ học,tốt
Lưu lại bài giảng,tốt
Không phải di chuyển ,tốt
Đỡ mất thời gian di chuyển,tốt
tiết kiệm chi phí,tốt
Không di chuyển ,tốt
Dễ tập trung,tốt
Thuận tiện,tốt
Dễ tiếp thu dễ trao đổi vs giáo viên ,tốt
không có,không liên quan
Thoải mái về thời gian,tốt
tự học là chính giúp bản thân k phụ thuộc vào người khác,tốt
Quản lý được thời gian học online ,tốt
có thể học tại nhà,tốt
giao lưu cùng lớp,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
"Thuận tiện về việc thời gian học, nắm bắt nội dung bài, được chơi những trò chơi khuấy động không khí lớp học.",rất tốt
k,không liên quan
Ở nhà ,không liên quan
năng lực tự học,tốt
thuận lợi trong việc tham gia vào lớp học,tốt
Ko,không liên quan
"tiết kiệm thời gian, đảm bảo sức khoẻ",tốt
"dễ thực hiện, thời gian được thoải mái, tiết kiệm được công sức ",tốt
có,không liên quan
chủ động được thời gian,tốt
a,không liên quan
học ở đâu cũng được,tốt
Quản lý thời gian tốt hơn,tốt
Quản lý tg,tốt
"nâng cao khả năng công nghệ, hoạt động nhóm online được cải thiện ",tốt
"dễ hiểu, dễ hỏi",tốt
k,không liên quan
tiết kiệm chi phí,tốt
"học dễ hiểu , giảng viên nhiệt tình , thời gian học thuận lợi",tốt
thời gian di chuyển,tốt
Dạ,không liên quan
thoải mái,tốt
Hạn chế di chuyển,tốt
Cô dạy rất hay quan tâm nhiều đến sinh viên,tốt
Học tại nhà,tốt
không có,không liên quan
khong co,không liên quan
Không,không liên quan
"Đỡ mất thời gian đi lại do nhà em xa, chủ động được thời gian nhiều hơn, đỡ tiếp xúc đông người do dịch, em có thể xử lý tình huống ngay khi ở nhà do tiện hơn",tốt
"Thuận tiện trong việc đi lại, thời gian",tốt
Đỡ tốn xăng,tốt
không mất thời gian di chuyển,tốt
không có,không liên quan
Tiết kiệm thời gian,tốt
không phải đi học xa,tốt
KHÔNG,không liên quan
có thể nghe rõ giảng viên giảng bài và tiếp thu hiệu quả,tốt
Kiến thức dễ hiểu,tốt
dễ hiểu,tốt
không,không liên quan
"thoải mái, yên tĩnh",tốt
Thuận lợi trong việc đi lại,tốt
Không có ý kiến,bình thường
Không,tốt
quản lý thời gian,tốt
Không,không liên quan
bình thường,bình thường
.,không liên quan
Tiết kiệm thời gian di chuyển,tốt
"không tốn thời gian di chuyển, có không gian tập trung ",tốt
Quản lý thời gian,tốt
"Thoải mái, dùng thành thạo các kỹ năng công nghệ trực tuyến, biết nhiều hơn về các trang web trực tuyến",rất tốt
Linh hoạt thời gian,tốt
Tiết kiệm thời gian di chuyển,tốt
khả năng tập trung,tốt
Tiết kiệm được thời gian cũng như chi phí đi lại,tốt
Không có ý kiến ,bình thường
Khong,không liên quan
Dễ tham gia lớp học,tốt
không,tốt
Có thể xem lại buổi học,tốt
chủ động được thời gian,tốt
Không phải chờ thang máy,tốt
Dễ dàng mọi lúc mọi nơ,tốt
Tiện,tốt
Ngồi nhà tiết kiệm tiền xăng,tốt
Không,không liên quan
diem cao,tốt
khong,không liên quan
Thoải mái,tốt
"Dễ hiểu , k phải di chuyển",tốt
Tiện lợi,tốt
tiết kiệm thời gian,tốt
Giúp tiết kiệm thời gian,tốt
quen voi hoc truc tuyen,tốt
Chủ động được thời gian,tốt
học trực tuyến giúp khả năng tự học tốt hơn,tốt
khong mat nhieu thoi gian,tốt
giờ giấc thoải mái,tốt
Không,không liên quan
"tinh thần tự học cao, quản lý thời gian",tốt
Không có,không liên quan
Quản lý thời gian ,tốt
học bất kì khi nào ,tốt
"dễ tiếp cận thông tin, không tốn nhiều chi phí",tốt
không phải đi xa,tốt
Không phải đi lại,tốt
dễ chủ động thời gian học tập,tốt
"Dễ dàng, nhanh chóng, không tốn kém chi phí đi lại xe, xăng, an toàn và bảo vệ được sức khỏe",rất tốt
Không gian yên tĩnh khiến tôi tập trung hơn. Hạn chế tối thiểu khả năng lây nhiễm của dịch bệnh Covid19,rất tốt
Bảo đảm an toàn dịch bệnh,tốt
"Thuận tiện trong địa điểm học tập, tiết kiệm chi phí di chuyển",tốt
Không cần di chuyển ,tốt
Thuận tiện đi lại,tốt
Không,không liên quan
dễ di chuyển và an toàn trong mùa dịch,tốt
"Phản ánh được sự tập trung, tự giác của sinh viên.",tốt
không cần phải di chuyển khi đổi cơ sở như học trực tiếp ,tốt
ĐÚNG GIỜ,tốt
không tốn công di chuyển,tốt
quản lí thời gian ,tốt
Tiết kiệm thời gian,tốt
Không bị trễ giờ học,tốt
Tiện lợi,tốt
Dễ tập trung,tốt
không phải sợ dịch bệnh covid,tốt
dễ di chuyển và an toàn sức khỏe mùa dịch,tốt
Tập trung học và hiểu bài,tốt
Thiết bị ,không liên quan
Kịp giờ học ko sợ trễ,tốt
học bất kì ở đâu,tốt
quay video,tốt
giao lưu cùng lớp,tốt
Tiết kiệm chi phí,tốt
Tiết kiệm được thời gian,tốt
Dễ tập trung,tốt
Không,tốt
Tiện,tốt
Tham gia đây đủ các buổi,tốt
Không,không liên quan
thuận lợi về thời gian đi lại,tốt
Không phải đi nắng lội mưa,tốt
Không tiếp xúc với nhiều người trong mùa dịch,tốt
"Thuận tiện, không mất thời gian di chuyển, không tốn chi phí phát sinh: tiền gửi xe, tiền xăng,..v.v",rất tốt
Không di chuyển ,tốt
Không có,không liên quan
quản lý thời gian dễ dàng,tốt
k,không liên quan
"Học nhanh hiểu hơn, thuận tiện hỏi hơn, không khí học vui hơn.",tốt
năng lực tự học,tốt
.,không liên quan
Quản lý thời gian,tốt
thuận tiện trong việc tham gia vào lớp học,tốt
chủ động được thời gian,tốt
có,không liên quan
 đáp ứng của giảng viên; giao diện chương trình học,tốt
không,không liên quan
"Quản lý được thời gian, kỹ năng sử dụng công nghệ tăng lên",tốt
a,không liên quan
thời gian di chuyển,tốt
Quản lý thời gian,tốt
Tiện lợi,tốt
nâng cao kỹ năng sử dụng công nghệ hơn,tốt
Tập trung nghe giảng không bị xao lãng bởi xung quanh,tốt
quản lý thời gian dễ dàng,tốt
bình thường ,bình thường
"Dễ hiểu, rút gọn thời gian",tốt
k,không liên quan
không có,không liên quan
"ở đâu cũng học được, tiện",tốt
không có,không liên quan
Thoải mái,tốt
Tiết kiệm thời gian đến trường,tốt
Dạ tốt ,tốt
thoải mái,tốt
dễ dàng nhanh gọn,tốt
đi học trễ,tốt
Tiết kiệm thời gian,tốt
Học tại nhà,tốt
không có,không liên quan
không có,không liên quan
Không,không liên quan
diem cao,tốt
"Đỡ mất thời gian đi lại do nhà em xa, chủ động được thời gian nhiều hơn, đỡ tiếp xúc đông người do dịch, em có thể xử lý tình huống ngay khi ở nhà do tiện hơn",rất tốt
Đỡ hao xăng,tốt
Thuận lợi về thơi gian và không gian học,tốt
không mất thời gian di chuyển,tốt
không có,không liên quan
Không mất thời gian di chuyển,tốt
Tiện nghi,tốt
không phải đi học xa,tốt
KHÔNG,không liên quan
dễ hiểu bài,tốt
tiện,tốt
An toàn với dịch và thuận lợi học tại nhà ,tốt
đỡ tốn chi phí đi lại. tiết kiệm thời gian,tốt
khả năng tập trung,tốt
Thuận lợi trong việc đi lại,tốt
Ko,không liên quan
Không có ý kiến,bình thường
giờ giấc thoải mái,tốt
Được thoải mái về thời gian,tốt
Không,không liên quan
Không phải đi lại,tốt
Tiết kiệm thời gian di chuyển,tốt
Linh hoạt thời gian,tốt
Tiết kiệm thời gian di chuyển,tốt
Không,không liên quan
"Thoải mái, dùng thành thạo các kỹ năng công nghệ trực tuyến, biết nhiều hơn về các trang web trực tuyến",rất tốt
Khong,không liên quan
"năng lực tự học cao, dễ quản lý thời gian, ",tốt
đáp ứng của giảng viên,tốt
có thể ghi hình lại buổi học để xem lại,tốt
Tiết kiệm thời gian đi lại cũng như chi phí sinh hoạt,tốt
ko,không liên quan
chủ động được thời gian,tốt
Không phải chờ thang máy,tốt
Thời gian dễ tiếp thu ,tốt
Không ,không liên quan
Không,không liên quan
Học đúng giờ,tốt
rất tệ,không liên quan
Hạn chế di chuyển,tốt
không ,không liên quan
kh,không liên quan
a,không liên quan
Thoải mái,tốt
"dễ hiểu, dễ tương tác với giảng viên, hiệu quả cao ",tốt
Tiện ,tốt
tiện lợi,tốt
"K phải di chuyển, dễ hiểu",tốt
Hoc tot,tốt
giúp quản lý thời gian,tốt
tiếp thu kiến thức nhanh chóng,tốt
học online thuận tiện hơn trong học tập,tốt
da quen hoc truc tuyen,tốt
"Chủ động được thời gian, giáo viên giảng dạy dễ hiểu",tốt
Không phải đi xa,tốt
Không có ,không liên quan
Được làm bài nhiều hơn,tốt
tiết kiệm tgian,tốt
"thuân tiện học, không mất thời gian khi đi từ nhà đến trường",tốt
Học nhanh hơn,tốt
"tự giác học, quản lý thời gian hiệu quả",tốt
KhÔng có,không liên quan
Tiết kiệm thời gian,tốt
Không có,tốt
Quản lý thời gian ,tốt
năng lực tự học tốt hơn,tốt
"Sức khỏe được bảo vệ an toàn, không tốn chi phí xe, xăng, nhanh chóng, dễ dàng",tốt
Không cần phải đi bộ giữa trời nắng nóng,tốt
Đảm bảo an toàn dịch bệnh,tốt
 ,không liên quan
Khả năng tự học,tốt
quản lý thời gian,tốt
tốt,tốt
dễ tiếp thu,tốt
Không cần di chuyển ,tốt
"Dễ dàng, mọi lúc mọi nơi",tốt
Thuận tiện đi lại,tốt
Quản lý thời gian tốt hơn,tốt
quản lý thời gian tốt,tốt
"Có được năng lực tự học, khả năng quản lý thời gian",tốt
quản lí thời gian,tốt
.,không liên quan
kỹ năng sử dụng công nghệ học tập trực tuyến,tốt
Thời gian,tốt
Hạn chế di chuyển,tốt
Dễ tập trung,tốt
không phải sợ mắc bệnh dịch covid,tốt
Có,không liên quan
Ở nhà ,tốt
Nhanh,tốt
Quản lý được thời gian,tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
không phải đi lại,tốt
Quản lý được thơi gian,tốt
Đầy đủ thiết bị ,tốt
Ko phải đi lại nhìu,tốt
Khong,không liên quan
Khoong có,không liên quan
Thoải mái,tốt
nhanh chóng,tốt
Thuận tiện trong đi lại,tốt
Không có,rất tệ
Tham gia lớp học dễ,tốt
Không có ,không liên quan
Tiện lợi thời gian,tốt
thuận tiện,tốt
Không phải di chuyển,tốt
Giảng viên tận tình,tốt
Chủ động thời gian,tốt
Chủ động thời gian,tốt
tiện lợi,tốt
học tại nhà,tốt
Thoải mái,tốt
"tiết kiệm khoảng thời gian đi lại từ nhà đến trường, tối ưu trong giai đoạn dịch bệnh",tốt
có thể dễ dàng thao tác,tốt
quản lý được thời gian,tốt
"Giảng viên tận tình, giảng dạy dễ hiểu",tốt
Không,không liên quan
tiết kiệm thờ gian,tốt
điểm cao,tốt
quản lý thời gian dễ dàng,tốt
yên tĩnh,tốt
an toàn phòng dịch,tốt
"hạn chế ra ngoài, đáp ứng nhanh tiện lợi",tốt
Dễ tiếp thu bài học,tốt
Quản lí thời gian,tốt
Thuận lợi về thời gian học; sắp xếp công việc vừa học vừa làm tại nhà,tốt
không có,không liên quan
Chủ động tương tác,tốt
Tiết kiệm thời gian di chuyển,tốt
Không có,không liên quan
không,không liên quan
không tốn thời gian di chuyển đến trường,tốt
khong co,không liên quan
không có ý kiến,bình thường
Tiên lợi vì ở nhà,tốt
Rất tập trung,tốt
tiết kiệm thời gian,tốt
Không tốn thời gian đến trường quá xa…,tốt
Không,không liên quan
Tiện,tốt
nghe rõ bài giảng,tốt
Hạn chế đi lại trong tình hình dịch bệnh ,tốt
Được record lại bài học và xem lại,tốt
.,không liên quan
Có thể làm việc nhà phụ ba mẹ,tốt
Không cần phải đến trường để tiếp thu kiến thức,tốt
Chủ động được thời gian,tốt
Không,không liên quan
"Không bị trễ giờ vào lớp học so với học trực tiếp, đi học đầy đủ hơn, dễ tập trung hơn.",tốt
Ít di chuyển,tốt
Ổn,tốt
Tại nhà,tốt
không,không liên quan
K coá,không liên quan
"dễ học, dễ quan sát, dễ hiểu",tốt
quản lý thời gian,tốt
"Tiết kiệm thời gian đi lại, tiết kiệm tiền ăn bên ngoài, bảo vệ sức khỏe.",tốt
Không có,tốt
Tiện lợi cho việc di chuyển,tốt
a,không liên quan
Thời gian linh hoạt ,tốt
có thể học ở mọi nơi,tốt
không có,không liên quan
Nân,không liên quan
Không mất chi phí đi lại,tốt
dễ tiếp cận bài giảng,tốt
Dễ nhìn thấy slide,tốt
Không,không liên quan
T,không liên quan
tiết kiệm thời gian di chuyển,tốt
không mất nhiều thời gian di chuyển,tốt
Tiện lợi,tốt
tự do giờ giấc học,tốt
Không cần di chuyển ,tốt
ko,không liên quan
Thoải mái,tốt
kc,không liên quan
"không phải tới trường, an toàn, tiết kiệm thời gian",tốt
Ở nhà an toàn ,tốt
fg,tốt
tiện,tốt
Tối uu hoa thời gian học tập,tốt
"Không bị trễ giờ vào lớp học so với học trực tiếp, đi học đầy đủ hơn, dễ tập trung hơn.",rất tốt
Tại nhà,không liên quan
a,không liên quan
Chủ độngđược thời gian hơn,tốt
tốn ít thời gian di chuyển,tốt
j,không liên quan
Khá ổn,tốt
không,không liên quan
quản lý thời gian dễ dàng,tốt
quản lý thời gian,tốt
Ko coá,không liên quan
"Tiết kiệm thời gian đi lại, tiết kiệm tiền ăn bên ngoài, bảo vệ sức khỏe.",tốt
Không có,không liên quan
"Đường truyền internet ổn định, giảm bớt thời gian di chuyển giữa các cơ sở",tốt
Dễ dàng di chuyển,tốt
Thời gian linh hoạt ,tốt
có thể học ở mọi nơi,tốt
tiết kiệm thời gian di chuyển,tốt
Không,không liên quan
Hạy,tốt
Không tốn tiền chi phí đi lại,tốt
Không,không liên quan
dễ tiếp cận bài giảng,tốt
Dễ tương tác với giáo viên ,tốt
T,không liên quan
Không cần đến trường để tiếp thu kiến thức,tốt
không mất nhiều thời gian di chuyển,tốt
không có,không liên quan
Tiện lợi,tốt
tự do giờ giấc,tốt
Không cần phải di chuyển ,tốt
ko,không liên quan
Thoải mái,tốt
kv,không liên quan
"không phải tới trường, an toàn, tiết kiệm thời gian",tốt
An toàn trong mùa dịch,tốt
tiện ,tốt
Tối uu hóa thơi fian học tập,tốt
đường truyền internet ổn định,tốt
không,không liên quan
Không có,không liên quan
Tiện,tốt
khong co,không liên quan
đỡ mất thời gian đi đến trường,tốt
rất thuận lợi,tốt
Tiện lợi vì ở nhà,tốt
Tiết kiệm được thời gian di chuyển,tốt
Chủ động tương tác ,tốt
Không tốn thời gian đến trường quá xa…,tốt
all things okay,bình thường 
Không,không liên quan
không có,không liên quan
Hạn chế đi lại trong tình hình dịch bệnh ,tốt
Record được bài giảng,tốt
.,không liên quan
Mjang internet,không liên quan
Dạ tiết kiệm được thời gian đi lại ạ,tốt
dễ học hơn,tốt
không phải đi lại ,tốt
Quản lý được thời gian,tốt
Tiết kiệm thời gian và chi phí di chuyển đến trường,tốt
Không,không liên quan
không phải di chuyển,tốt
"Thoải mái, dùng thành thạo các kỹ năng công nghệ trực tuyến, biết nhiều hơn về các trang web trực tuyến",rất tốt
khong co,không liên quan
Trang phục,không liên quan
không mất thời gian di chuyển nhưng vẫn tiếp thu được hết bài giảng,tốt
mọi lúc mọi nơi,tốt
quản lí thời gian,tốt
rất tệ,không liên quan
Không,không liên quan
Thoải mái,tốt
"không gian thoải mái, dễ tập trung vào bài học",tốt
ok,bình thường 
"Di chuyển, thời gian",tốt
"nâng cao kỹ năng sử dụng công nghệ, quản lí tốt được thời gian, nâng cao sự tập trung,..",rất tốt
Thời gian nhiều hơn,tốt
Thuận tiện cho mọi hoạt động trong lớp học,tốt
không,không liên quan
Tiện lợi,tốt
Có nhìu thời gian ,tốt
Dễ dàng tìm tài liệu phong phú,tốt
không phải di chuyển,tốt
Tập trung học hơn,tốt
"Dễ nghe dễ hiểu, tương tác với giảng viên dễ dàng",tốt
"Tập trung hơn trong việc học, biết cách sử dụng công nghệ hơn",tốt
tham gia được mọi lúc mọi nơi,tốt
Không,không liên quan
Không cần đi xe đến trường,tốt
Không có,không liên quan
"Tiết kiệm thời gian, chi phí ",tốt
không có ý kiến ạ,bình thường
Không tốn thời gian đi lại,tốt
Ít tốn kém thời gian đi lại,tốt
không tốn thời gian đi lại,tốt
ko trễ giờ ,tốt
không,không liên quan
Không,không liên quan
có kỹ năng sử dụng công nghệ và dễ tương tác với giảng viên,tốt
"Vui, dễ hiểu, ko ồn",tốt
rất tệ,không liên quan
Mạng ổn định,tốt
chủ động về thời gian,tốt
Thoải mái,tốt
tgoair maasi học tập,tốt
tiết kiệm thời gian,tốt
Không phải di chuyển nhiều,tốt
Tiện lợi ít tốn thời gian ,tốt
Giảng viên dễ dàng chỉ dẫn cho sinh viên.,tốt
Thời gian nhiều hơn đến trường,tốt
dễ tương tác,tốt
Không thấy,không liên quan
có thời gian học và làm việc,tốt
không phải lên lớp,tốt
không có ý kiến ạ,bình thường
"Tiết kiệm thời gian đi lại, covid",tốt
Hiểu bài,tốt
Không phải đi ra ngoài trong tình hình dịch căng thẳng,tốt
không,không liên quan
ko trễ giờ,tốt
"thuận tiện, tiết kiện thời gian di chuyển, thoải mái ",tốt
"thuận tiện, đảm bảo thời gian, học đúng giờ",tốt
Không có,không liên quan
Học trực tiếp tại nhà thuận tiện,tốt
không ,không liên quan
Thoải mái môi trường học,tốt
Học ở nhà không cần đến trường nên vào lớp đúng giờ.,tốt
không có,không liên quan
Không có ,không liên quan
Đi học luôn đúng giờ,tốt
"nâng cao năng lực tự học, làm chủ được thời gian, kỹ năng sử dụng công nghệ được tốt hơn,..",rất tốt
không phải di chuyển,tốt
thời gian tự học ở nhà nhiều hơn,tốt
thầy hỗ trợ rất tốt cho sinh viên,tốt
Năng lực tự học tốt hơn ,tốt
Dễ học,tốt
Không ,không liên quan
bình thường,tốt
Tiện lợi,tốt
Không phải di chuyển nhiều,tốt
Học tập tại nhà,tốt
"Thuận tiện cho việc sinh hoạt cá nhận tại nhà. Không mất thời gian đi tới trường học, thoải mái hơn ở trường",rất tốt
không tốn thời gian đi lại,tốt
"nhanh, gọn",tốt
Nhanh,tốt
Dạ tiết kiệm được thời gian đi lại ạ,tốt
dễ học hơn,tốt
Theo dõi bài,tốt
không đi lại,tốt
không có,bình thường 
Chủ động được thời gian,tốt
Ko,không liên quan
Tiết kiệm thời gian và chi phí di chuyển đến trường,tốt
tiết kiệm thời fian đi lại,tốt
Không ,không liên quan
Không có,bình thường
Không,không liên quan
vui,tốt
không phải di chuyển,tốt
tiết kiệm thời gian,tốt
moi luc moi noi,tốt
Có thể ghi hình và xem lại sau,tốt
"Không tốn tiền trọ, xe để đến trường",tốt
ok,bình thường
khong ton thoi gian di chuyen,tốt
"Đúng giờ, note lại dễ dàng",tốt
chưa có,tốt
"Thoải mái, dùng thành thạo các kỹ năng công nghệ trực tuyến, biết nhiều hơn về các trang web trực tuyến",rất tốt
khong co,tốt
k phải di chuyển nhiều,tốt
giảm thời gian đi lại,tốt
tập trung,tốt
Thoải mái,tốt
"không gian im lặng, dễ tập trung vào bài học",tốt
Thời gian,tốt
bt,bình thường
Quản lý thời gian,tốt
Không ,không liên quan
không mặt thời gian di chuyển,tốt
"điểm cao, tiện khi học ở nhà",tốt
Không có ,tốt
dễ hc,tốt
Thuận tiện,tốt
.,không liên quan
quản lí thời gian,tốt
rất tệ,không liên quan
k có,không liên quan
Không,không liên quan
Kiến thức dễ tiếp thu,tốt
Thoải mái,tốt
"đỡ phải di chuyển giữa các khu vực trường, có nhiều thời gian chuẩn bị hơn",tốt
Thuận tiện,tốt
yên tĩnh dễ tập trung ạ,tốt
Không phải di chuyển nhiều,tốt
Không tốn tiền trọ,tốt
Không có,không liên quan
chưa có,không liên quan
Không có ,không liên quan
tiết kiệm thời gian,tốt
giảm thời gian đi lại,tốt
tiện lợi thoải mái,tốt
de hc,tốt
Thuận tiện không di chuyển ,tốt
Tiện đỡ di chuyển,tốt
.,không liên quan
Khoẻ,tốt
dễ theo dõi,tốt
0,không liên quan
"Không tốn thời gian di chuyển, thoải mái hơn ở lớp, cô dạy dễ hiểu, vui",tốt
tiết kiệm thời gian,tốt
Không ,không liên quan
"tiết kiệm thời gian di chuyển, không gian yên tĩnh",tốt
không phải di chuyển,tốt
Mạng lag,tệ
Không,không liên quan
linh động được thời gian,tốt
Thời gian linh hoạt,tốt
Tiết kiệm thời gian ,tốt
.,không liên quan
Không,không liên quan
"thuận tiện, đảm bảo thời gian, học đúng giờ",tốt
không,không liên quan
không,không liên quan
quản lí thời gian tốt hơn,tốt
linh hoạt giờ giấc,tốt
hieur thêm về công nghệ,tốt
Học trực tiếp tại nhà thuận tiện,tốt
.,không liên quan
Có kiến thức,tốt
K cần di chuyển liên tục,tốt
Nhanh gọn,tốt
Dễ hiểu,tốt
khong ton thoi gian di chuyen,tốt
Không bị kẹt xe,tốt
.,không liên quan
không,không liên quan
tập trung,tốt
tot,tốt
Gần ,tốt
Không có.,không liên quan
tốt,tốt
Ở nhà,tốt
khong,không liên quan
tiết kiệm được thời gian,tốt
Thời gian linh động,tốt
Không cần di chuyển qua lại các cơ sở,tốt
"Tiết kiệm chi phí đi lại, ít tốn thời gian vào lớp",tốt
không có,không liên quan
thuận lợi trong việc chuyển ca học,tốt
linh hoạt thời gian,tốt
Tiết kiệm thời gian ,tốt
bình thường,bình thường
Thuận tiện cho việc sinh hoạt cá nhân hơn ở trường. K mất thời gian đi lại,tốt
yên tĩnh dễ học ạ,tốt
ok,bình thường
"Tiết kiệm thời gian, chi phí di chuyển",tốt
có thể linh hoạt về thời gian,tốt
dễ theo dõi,tốt
thỏa mái,tốt
quản lý được thời gian,tốt
"học được mọi nơi, không tốn thời gian di chuyển",tốt
0,không liên quan
hieu thêm về công nghệ,tốt
Dễ trao đổi vs thầy cô,tốt
Dễ nghe dễ tiếp thu,tốt
